"Outcome","Exposure","Exposure_Label","P_Overall","P_Nonlinearity","P_Overall_FDR","P_Nonlinearity_FDR"
"MHO","mean_fl_total","Total Flavonoids",0.00794354677685977,0.00697346801571829,0.0370698849586789,0.0765343283922733
"MHO","mean_antho","Anthocyanidins",0.00112588532665759,0.0923813832971177,0.0157623945732062,0.184762766594235
"MHO","mean_nones","Flavanones",0.00265038156794208,0.0575422965060144,0.0185526709755946,0.16111843021684
"MHO","mean_3_ols","Flavan-3-ols",0.0906686238426968,0.0552790215360199,0.181337247685394,0.16111843021684
"MHO","mean_ones","Flavones",0.7997203617482,0.636210208028634,0.7997203617482,0.742245242700073
"MHO","mean_iso","Isoflavones",0.349402582464637,0.772519827927053,0.527864058750705,0.772519827927053
"MHO","mean_ols","Flavonols",0.711332483033525,0.692868035363782,0.766050366343796,0.746165576545611
"MUO","mean_fl_total","Total Flavonoids",0.179088389669146,0.0911594031850247,0.313404681921006,0.184762766594235
"MUO","mean_antho","Anthocyanidins",0.0530997344609182,0.310801844090581,0.123899380408809,0.454189857537924
"MUO","mean_nones","Flavanones",0.0458926867386128,0.0230819871412057,0.123899380408809,0.107715939992293
"MUO","mean_3_ols","Flavan-3-ols",0.0266466232566336,0.0109334754846105,0.0932631813982178,0.0765343283922733
"MUO","mean_ones","Flavones",0.414750331875554,0.324421326812803,0.527864058750705,0.454189857537924
"MUO","mean_iso","Isoflavones",0.383881550559104,0.204912073663076,0.527864058750705,0.358596128910383
"MUO","mean_ols","Flavonols",0.560135277859801,0.430573563008712,0.653491157503102,0.548002716556542
